100	0.01984	0.0064	0.01326
200	0.10156	0.02707	0.04519
300	0.23692	0.07117	0.1444
400	0.31452	0.09703	0.18078
500	0.50008	0.19521	0.31441
600	0.72352	0.24725	0.42647
700	0.91552	0.30048	0.55083
800	1.46629	0.4947	0.78184
900	1.70625	0.58285	0.87459
1000	2.18879	0.63191	1.18642
