100	0.02531	0.00665
200	0.07998	0.02387
300	0.19939	0.05529
400	0.35224	0.09653
500	0.45344	0.14688
600	0.61367	0.20146
700	0.82867	0.32691
800	1.09631	0.35963
900	1.38298	0.47528
1000	1.69609	0.53967
